Quarter,Average,
2000Q1,6.29,
2000Q2,5.98,
2000Q3,5.79,
2000Q4,5.69,
2001Q1,5.44,
2001Q2,5.7,
2001Q3,5.53,
2001Q4,5.3,
2002Q1,5.43,
2002Q2,5.65,
2002Q3,4.75,
2002Q4,4.83,
2003Q1,4.84,
2003Q2,4.52,
2003Q3,4.91,
2003Q4,5.1,
2004Q1,4.77,
2004Q2,5.33,
2004Q3,4.89,
2004Q4,4.85,
2005Q1,4.88,
2005Q2,4.28,
2005Q3,4.62,
2005Q4,4.61,
2006Q1,4.66,
2006Q2,5.14,
2006Q3,4.99,
2006Q4,4.74,
2007Q1,4.8,
2007Q2,4.99,
2007Q3,4.95,
2007Q4,4.61,
2008Q1,4.41,
2008Q2,4.57,
2008Q3,4.45,
2008Q4,3.66,
2009Q1,3.46,
2009Q2,4.17,
2009Q3,4.32,
2009Q4,4.34,
2010Q1,4.62,
2010Q2,4.37,
2010Q3,3.86,
2010Q4,4.17,
2011Q1,4.56,
2011Q2,4.34,
2011Q3,3.69,
2011Q4,3.04,
2012Q1,3.14,
2012Q2,2.94,
2012Q3,2.74,
2012Q4,2.86,
2013Q1,3.13,
2013Q2,3.14,
2013Q3,3.71,
2013Q4,3.79,
2014Q1,3.68,
2014Q2,3.44,
2014Q3,3.27,
2014Q4,2.97,
2015Q1,2.55,
2015Q2,2.88,
2015Q3,2.96,
2015Q4,2.96,
2016Q1,2.72,
2016Q2,2.57,
2016Q3,2.28,
2016Q4,2.83,
